id,name,popularity,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1ZpPaBDswjV3VSUKqLDXPE,23,80,23,0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977,audio_features,spotify:track:1ZpPaBDswjV3VSUKqLDXPE,https://api.spotify.com/v1/tracks/1ZpPaBDswjV3VSUKqLDXPE,https://api.spotify.com/v1/audio-analysis/1ZpPaBDswjV3VSUKqLDXPE,228145,4
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,87,Paint The Town Red,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4
0TsCBkrq3owPs06HP5Q9Z4,RIIVERDANCE,81,COWBOY CARTER,0.699,0.791,7,-8.527,1,0.186,0.456,0.0,0.25,0.43,119.997,audio_features,spotify:track:0TsCBkrq3owPs06HP5Q9Z4,https://api.spotify.com/v1/tracks/0TsCBkrq3owPs06HP5Q9Z4,https://api.spotify.com/v1/audio-analysis/0TsCBkrq3owPs06HP5Q9Z4,251986,4
1LSWDkZxVngIpfjvMs6Q56,ALLIIGATOR TEARS,81,COWBOY CARTER,0.618,0.651,2,-9.662,1,0.0822,0.202,0.0,0.237,0.656,74.548,audio_features,spotify:track:1LSWDkZxVngIpfjvMs6Q56,https://api.spotify.com/v1/tracks/1LSWDkZxVngIpfjvMs6Q56,https://api.spotify.com/v1/audio-analysis/1LSWDkZxVngIpfjvMs6Q56,179398,4
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),93,UTOPIA,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
486YUqcmF9IWPkreU0THcQ,MY ROSE,81,COWBOY CARTER,0.384,0.177,2,-11.755,0,0.0418,0.771,0.0,0.0943,0.59,175.953,audio_features,spotify:track:486YUqcmF9IWPkreU0THcQ,https://api.spotify.com/v1/tracks/486YUqcmF9IWPkreU0THcQ,https://api.spotify.com/v1/audio-analysis/486YUqcmF9IWPkreU0THcQ,53443,3
6WO7IDGLakjO38lsvI2gHB,Slow It Down,87,Slow It Down,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,audio_features,spotify:track:6WO7IDGLakjO38lsvI2gHB,https://api.spotify.com/v1/tracks/6WO7IDGLakjO38lsvI2gHB,https://api.spotify.com/v1/audio-analysis/6WO7IDGLakjO38lsvI2gHB,161831,4
0SdBkFh6u5IHIXqlBu0NyI,Yeah Glo!,77,Yeah Glo!,0.896,0.657,11,-5.334,0,0.327,0.0229,0.0,0.137,0.184,148.082,audio_features,spotify:track:0SdBkFh6u5IHIXqlBu0NyI,https://api.spotify.com/v1/tracks/0SdBkFh6u5IHIXqlBu0NyI,https://api.spotify.com/v1/audio-analysis/0SdBkFh6u5IHIXqlBu0NyI,142703,4
6b81dy3WjbozXK6b7C1gu5,Austin,79,What Happens Now?,0.75,0.671,0,-6.753,1,0.0532,0.468,3.75e-06,0.108,0.738,114.902,audio_features,spotify:track:6b81dy3WjbozXK6b7C1gu5,https://api.spotify.com/v1/tracks/6b81dy3WjbozXK6b7C1gu5,https://api.spotify.com/v1/audio-analysis/6b81dy3WjbozXK6b7C1gu5,171783,4
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),84,Wild Ones (feat. Jelly Roll),0.65,0.689,0,-3.543,1,0.0449,0.0878,0.0,0.172,0.294,136.03,audio_features,spotify:track:2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/tracks/2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/audio-analysis/2kE2HFBFkJ0VMw3igxYohz,142520,4
